Item Code,Case Weight,Cases Shipped,Cases Damaged
147470,31.15,1527,0
147627,25.25,428,0
147690,39.5,79,0
148047,14,32,0
148065,5,49,0
148070,6.5,72,0
148098,32,393,0
148101,30,116,0
148132,33,34,0
148133,23.6,41,0
148135,22,15,0
148136,22,716,0
148137,39,510,0
148146,10,21,0
148156,25.72,1874,0
148166,15,503,0
148170,9,23,0
148171,13.5,36,0
148196,41.5,4304,0
148197,41.5,10579,3
148198,37.5,3064,0
148232,6.6,41,0
148233,21,91,0
148236,33.6,114,0
148238,33.2,185,0
148248,8.79,478,0
148249,23.6,952,0
148250,32.92,203,0
148251,18.2,0,0
148255,12.75,373,0
148256,26.25,241,0
148257,15.2,4835,0
148258,26.3,2458,0
148261,1.9,331,0
148263,6.78,107,0
148264,24.69,52,0
148266,6.73,594,0
148269,19.74,151,0
148280,5.02,944,0
148321,14.5,27,0
148336,10.2,233,0
148340,41.5,134,0
148356,1,54,1
148357,0.5,115,0
148359,1,452,0
148360,1,156,0
148363,19,91,0
148364,14.6,8,0
148365,40.35,300,0
148366,18.88,1,0
148367,27.82,271,0
148370,7.84,67,0
148371,20.22,178,2
148372,11.09,29,0
148374,9,31,0
148391,19.2,756,0
148407,6.62,24,0
148418,42,5315,0
148429,6.11,194,0
148430,8.89,201,0
148432,10.02,75,0
148433,8.8,329,0
148434,8.15,92,0
148435,25.4,9949,7
148443,33.53,600,0
148444,33.53,1507,1
148454,21.33,2683,0
148456,9.42,481,0
148457,9.42,221,0
148461,15.15,154,2
148463,21.4,2180,0
148464,51,2135,1
148466,21,1795,0
148474,15.5,7,0
148480,25.5,1439,0
148496,30,762,1
148500,24,1666,0
148506,2.3,546,0
148508,25,248,0
148517,22.6,255,0
148525,16,109,0
148535,34.4,230,0
148540,11,152,0
148553,13.05,2175,0
148555,4,1872,0
148558,5.1,594,0
148565,20.35,1841,0
148573,17.41,210,0
148575,17.41,317,0
148578,17.41,492,0
148581,3.67,548,0
148585,12.42,426,0
148587,19,240,0
148590,11.5,261,0
148591,8,231,0
148592,18,122,0
148597,15.1,24,0
148598,10.5,341,1
148599,8.6,11,0
148600,6.6,309,0
148602,8.5,49,0
148604,4.68,47,0
148607,9.59,1218,0
